Lorry Number
8722
8915
4250
907
5708
7016
5019
3037
3304
4186
6735
8058
3144
3526
2953
9120
3087
3306
9578
3641
2249
438
7628
7704
9062
9336
7708
7632
436
4685
3804
1580
6427
4721
5243
5324
4820
7635
5284
8256
2754
4753
1512
7639
3136
3165
5846
8693
9577
2809
6737
7565
9569
4192
